Date,SP500,SMALL CAP,TBILL,GOVT IT,GOVT LT,CORP LT,INFLATION
4/30/2002,-0.0074,-0.0273,0.001447883,0.011768503,0.001492001,0.011310008,0
3/31/2002,-0.0606,0.0243,0.001535707,0.023892092,0.040965092,0.025300991,0.005592858
2/28/2002,0.0376,0.0884,0.001338032,-0.024171498,-0.043610698,-0.029476997,0.005624314
1/31/2002,-0.0193,-0.0277,0.001293191,0.010777288,0.01148689,0.013041005,0.00395253
12/31/2001,-0.0146,0.011,0.001401301,0.003558315,0.013814919,0.017478991,0.002263731
11/30/2001,0.0088,0.0672,0.001463567,-0.0082314,-0.018323808,-0.008981997,-0.003945947
10/31/2001,0.0767,0.0674,0.001744445,-0.017089301,-0.047129195,-0.018801993,-0.001688193
9/30/2001,0.0191,0.0645,0.002243287,0.017989898,0.046393997,0.043731994,-0.003365025
8/31/2001,-0.0808,-0.1278,0.002773602,0.025343902,0.008084892,-0.015215,0.004506955
7/31/2001,-0.0626,-0.0295,0.003087865,0.009513102,0.020568199,0.015649996,0
6/30/2001,-0.0098,-0.0254,0.003022518,0.024701403,0.037551313,0.036084007,-0.002808947
5/31/2001,-0.0243,0.0359,0.002809833,0.006561589,0.008510588,0.005534998,0.001688193
4/30/2001,0.0067,0.096,0.003231007,-0.000694893,0.003744109,0.013225007,0.004522241
3/31/2001,0.0777,0.0731,0.003934,-0.0113703,-0.031299198,-0.012830999,0.003972821
2/28/2001,-0.0634,-0.048,0.00416156,0.007568299,-0.007417596,-0.002922002,0.00227532
1/31/2001,-0.0912,-0.0702,0.003753518,0.01053859,0.019106182,0.012735,0.003997676
12/31/2000,0.0355,0.138,0.0053838,0.009819105,0.000540199,0.035896002,0.006321806
11/30/2000,0.0049,0.0189,0.005043785,0.021351392,0.024253001,0.026976,-0.000574436
10/31/2000,-0.0788,-0.111,0.005073215,0.017391216,0.031857718,0.02626099,0.000574766
9/30/2000,-0.0042,-0.0706,0.005612995,0.007889692,0.018742183,0.004493998,0.001727069
8/31/2000,-0.0528,-0.0217,0.005082871,0.009584996,-0.015703784,0.00464901,0.005208296
7/31/2000,0.0621,0.0925,0.005045636,0.013380101,0.024046094,0.013511997,0
6/30/2000,-0.0156,-0.0322,0.004800503,0.007162897,0.017254892,0.017914006,0.002320192
5/31/2000,0.0247,0.1368,0.003984161,0.019129307,0.024395596,0.032595998,0.005247776
